gene_A,tau_A,gene_B,tau_B
sdc1,0.047766251hmgcs1,0.6888644
cdk15,0.021876869hmgcs1,0.6888644
mbd5,0.006587289hmgcs1,0.6888644
sdc1,-0.007111719hmgcs1,0.6888644
sdc1,-0.014113756hmgcs1,0.6888644
nfya,-0.08923281hmgcs1,0.6888644
arl6ip6,-0.005911385pmvk,0.667899719
scnm1,-0.024956327pmvk,0.667899719
fgb,-0.027312767pmvk,0.667899719
snrnp27,-0.044432822pmvk,0.667899719
slc25a35,-0.090486836pmvk,0.667899719
ggt5,0.021485879mvk,0.659365156
ggt5,0.008713337mvk,0.659365156
klhl10,-0.023369251mvk,0.659365156
ggt5,-0.028043989mvk,0.659365156
ggt5,-0.036799889mvk,0.659365156
commd6,0.298870687commd10,0.591445296
commd1,0.108797718commd10,0.591445296
commd6,0.104543547commd10,0.591445296
commd10,0.591445296ccdc22,0.578181251
commd8,0.573809115ccdc22,0.578181251
commd2,0.438495402ccdc22,0.578181251
commd6,0.298870687ccdc22,0.578181251
commd1,0.108797718ccdc22,0.578181251
commd6,0.104543547ccdc22,0.578181251
ctage5,0.070440105ccdc22,0.578181251
ctage5,0.068309473ccdc22,0.578181251
ctage5,0.049574494ccdc22,0.578181251
ctage5,0.026787027ccdc22,0.578181251
psmd7,0.02258824ccdc22,0.578181251
trim16l,0.009586906ccdc22,0.578181251
kif2b,-0.000235863ccdc22,0.578181251
trim16l,-0.015836679ccdc22,0.578181251
trim16l,-0.09336722ccdc22,0.578181251
vps29,-0.251618865ccdc22,0.578181251
commd10,0.591445296commd8,0.573809115
commd6,0.298870687commd8,0.573809115
commd1,0.108797718commd8,0.573809115
commd6,0.104543547commd8,0.573809115
kif2b,-0.000235863commd8,0.573809115
vps29,-0.251618865commd8,0.573809115
commd10,0.591445296c16orf62,0.510817492
ccdc22,0.578181251c16orf62,0.510817492
commd8,0.573809115c16orf62,0.510817492
commd2,0.438495402c16orf62,0.510817492
commd6,0.298870687c16orf62,0.510817492
commd4,0.242765413c16orf62,0.510817492
commd1,0.108797718c16orf62,0.510817492
commd6,0.104543547c16orf62,0.510817492
fam45a,-0.007969486c16orf62,0.510817492
commd3,-0.013930868c16orf62,0.510817492
vps29,-0.251618865c16orf62,0.510817492
commd10,0.591445296ccdc93,0.489405645
ccdc22,0.578181251ccdc93,0.489405645
commd8,0.573809115ccdc93,0.489405645
commd2,0.438495402ccdc93,0.489405645
commd6,0.298870687ccdc93,0.489405645
commd4,0.242765413ccdc93,0.489405645
commd1,0.108797718ccdc93,0.489405645
commd6,0.104543547ccdc93,0.489405645
fam45a,-0.007969486ccdc93,0.489405645
ltbr,-0.011074073ccdc93,0.489405645
commd3,-0.013930868ccdc93,0.489405645
jade2,-0.095831476ccdc93,0.489405645
vps29,-0.251618865ccdc93,0.489405645
dpep1,0.082639693vmp1,0.451067754
dpep1,0.026874895vmp1,0.451067754
dpep1,-0.021287574vmp1,0.451067754
commd10,0.591445296commd2,0.438495402
commd8,0.573809115commd2,0.438495402
commd6,0.298870687commd2,0.438495402
commd1,0.108797718commd2,0.438495402
commd6,0.104543547commd2,0.438495402
lamp3,0.03467072commd2,0.438495402
mecp2,0.077167192nsd1,0.388105059
znf692,-0.024483713nsd1,0.388105059
zbtb48,-0.047673999nsd1,0.388105059
zfy,-0.07015356nsd1,0.388105059
ccdc53,0.341557273kiaa1033,0.379717789
capza2,0.052623409kiaa1033,0.379717789
sec22b,0.045362398kiaa1033,0.379717789
sec22b,0.015984187kiaa1033,0.379717789
sec22b,-0.048887922kiaa1033,0.379717789
neu2,-0.032652647tfap4,0.364381826
p2rx1,-0.094918863fdft1,0.359858097
cd164l2,0.051177914slc19a1,0.35293148
tspan5,0.066221165thap11,0.351031017
psme3,0.064056618thap11,0.351031017
psmc5,0.048518902thap11,0.351031017
sync,0.033515417thap11,0.351031017
fam175b,0.000157234thap11,0.351031017
prdm5,-0.06695733thap11,0.351031017
exoc1,-0.095595673thap11,0.351031017
slc39a4,0.030155069uxs1,0.350917068
cbwd1,0.009306439uxs1,0.350917068
pex19,-0.045495834uxs1,0.350917068
stat2,0.054575753crebbp,0.341612421
ctgf,-0.008763447crebbp,0.341612421
ccna2,-0.025773186crebbp,0.341612421
txndc11,-0.044972946crebbp,0.341612421
cdk2,-0.056104075crebbp,0.341612421
c3orf62,-0.068802599crebbp,0.341612421
ccnd3,-0.142373038crebbp,0.341612421
