4335,24313
3404,27879
4335,3426
6457,21405
3732,1237
8322,18753
52355,15324
7158,22138
15782,22618
31652,23642
15356,25461
34124,22546
71356,23171
24937,7149
55643,16678
25570,788
547,18988
8713,31425
46649,19815
23304,102627
18988,684
37606,55361
6775,49109
24313,2320
71366,7741
10634,788
49289,29574
48149,2285
11039,31186
19435,3732
24313,65806
18396,17534
2258,14472
8704,3514
42734,29260
17612,24313
53826,68858
2506,21928
5882,18511
24313,36673
446,18753
36965,13258
1970,13786
55557,28550
36420,18988
313,29099
30399,22779
4536,53791
24045,15777
13786,27077
22779,3269
84709,17341
27007,788
2222,4906
9099,1078
71639,24313
16240,19950
62468,57975
23244,23171
23385,22618
684,19467
53336,15530
17612,8211
40322,24313
898,15076
38940,24313
61577,24937
4699,16600
40051,6849
55169,58450
12348,8899
48004,23692
34724,3560
15932,39131
30399,8590
21731,2899
69477,1997
59551,2324
70198,6330
17612,12387
38183,23244
30121,19734
53336,35296
23243,40677
7103,2899
28948,23280
27424,20233
15356,2222
17391,17400
55557,1230
3507,22423
39016,13935
28993,15607
29232,446
3349,70109
27784,6605
11039,27591
15633,788
14131,24313
34533,16599
42678,2428
26248,25523
7725,17565
57441,788
12317,9819
47224,22442
576,1124
71209,3653
17176,1997
29463,4146
76726,22817
23502,72622
21428,25437
18753,67049
27221,47519
32526,21906
12148,64162
15517,14152
7446,21724
15028,1997
2916,22990
17405,22779
25570,53577
4336,37562
51514,19815
25468,49389
5818,24313
19816,656
15517,684
16343,16339
23246,15261
8766,3732
24581,2899
25006,8590
15080,13779
11310,24446
34443,15670
69586,37950
5512,18378
1073,446
36609,15670
23171,29446
60667,983
2304,1416
24313,1936
47639,1569
29574,38735
34533,15261
13017,12348
28550,3632
5221,23244
12384,1970
29735,3425
3570,788
51015,5084
13501,13496
15900,50612
29846,55146
39242,24313
32246,14152
25643,13779
47628,17285
13793,8998
52858,9119
40322,24313
8899,46056
32128,19164
40614,16098
39100,15098
53784,1970
46384,43010
35508,15080
34694,7929
55361,19871
46099,13579
33460,13779
14200,16588
23382,788
61652,2885
5907,27756
37614,71366
